Hello World
initializing gdt
initialized gdt
initializing idt
IDT Entry 229, address_low = 0x2160, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 230, address_low = 0x2170, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 231, address_low = 0x2180, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 232, address_low = 0x2190, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 233, address_low = 0x21A0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 234, address_low = 0x21B0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 235, address_low = 0x21C0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 236, address_low = 0x21D0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 237, address_low = 0x21E0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 238, address_low = 0x21F0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 239, address_low = 0x2200, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 240, address_low = 0x2210, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 241, address_low = 0x2220, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 242, address_low = 0x2230, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 243, address_low = 0x2240, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 244, address_low = 0x2250, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 245, address_low = 0x2260, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 246, address_low = 0x2270, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 247, address_low = 0x2280, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 248, address_low = 0x2290, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 249, address_low = 0x22A0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 250, address_low = 0x22B0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 251, address_low = 0x22C0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 252, address_low = 0x22D0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 253, address_low = 0x22E0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 254, address_low = 0x22F0, address_mid = 0x8000, address_high = 0xFFFFFFFF.
IDT Entry 255, address_low = 0x2300, address_mid = 0x8000, address_high = 0xFFFFFFFF.
initialized idt
unexpected interrupt0.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
unexpected interrupt14.
